text,description,parent_asin,review_title,verified_purchase,rating,product_title,id
Nice looking ornament for the occasion!,"[""Digibuddha Christmas ornaments are beautiful, high quality gifts that become treasured keepsakes for years to come. Our ornaments make one-of-a-kind gifts to commemorate lifetime firsts and momentous occasions. Celebrate important events with a keepsake ornament this season such as an engagement ornament, first Christmas as newlyweds ornament, baby's first Christmas ornament, first home ornament, first year as a grandmom ornament, or even annual couples ornaments to add to your ornament collection year after year!"", 'ABOUT DIGIBUDDHA ORNAMENTS: Our ornaments are made using fine white porcelain (ceramic) with a flawless glossy glaze finish. Each original handmade ornament is permanently fused so the art becomes part of the ornament, NOT decals or stickers. Ready for gifting with the FREE included gift box!', 'LISTING INCLUDES:  3"" fine white porcelain ornament with flawless glaze finish  Beautiful original design as shown in sample  FREE hanging ribbon included (color shown in sample)  FREE white gift box with custom gift tag, Ready for gift giving!']",B07FFD8LHD,Looks nice!,True,5.0,"DIGIBUDDHA 40 Forty Years Married Mr. & Mrs. Christmas Ornament Keepsake Gift 40th Wedding Anniversary Husband & Wife Ceramic Holiday Decoration Present Porcelain 3"" Flat with Gold Ribbon Free Box",38072
Very nice 2 tone necklace.  Great length to wear with tunics,"['This long handmade pendant comes to you from the Cape Cod studio of award-winning artist Judith Stiles. Inspired by the reflection of the moon on the surface of the sea, it shimmers with positive energy when you wear it. Alloy metals include steel and copper that are gently hammered in the circles. Hand burnished metals for a satin matte finish. This is Judith\'s absolute FAVORITE chain because it is sturdy, but lightweight, and can be used with any pendant. Chain is 30"" LONG which creates a wonderful jazzy look with any outfit. Handmade Sterling silver long chain Gently hammered metals']",B07F3F8ZGV,Looks great!,True,5.0,Long Handmade Halo Necklace Pendant-Sterling silver long chain,37636
Simple but strong!! Love pictures and quotes,"['UNFRAMED PRINTS', '- I have to put this in for the people that don\'t read the words Unframed Print in the title. Of course if they didn\'t read the title or the words on the pictures they probably won\'t read this LOL. We tried. It\'s a print. It\'s not printed on wood, stone, slate, matboard, or any other kind of substrate. It\'s not thick sign, it\'s a print. It\'s not framed. That\'s why every picture says ""Frame not Include"". If you did read this far, Thank You', 'MAKES A GREAT GIFT', ""- My huge portfolio makes it easy to find the perfect gift for the people you care about. Friends love to get them for Birthdays, Christmas, Hanukkah, weddings, anniversaries, retirement, graduation, Father's Day, Mother's Day, Valentine's Day or house warming. Makes a great gift for your friends, husband, wife, son daughter mom, dad, co-workers, grandfather, grandmother, aunt uncle, cousin, spouse, or boss"", 'PERFECT FOR ANY ROOM', '- They look great in living rooms, dens, bedrooms, kitchens, entries, dining rooms, bathrooms, offices, man-caves, she sheds, home bars, game rooms, dorms or garages', 'READY TO FRAME', '- You get four 8""x 10"" prints. 8"" x 10"" frames are super easy to buy here on Amazon or at any department or craft store. Choose the frames that work with your decor and the print!', 'MADE TO LAST', '- This print is printed on semi-matte Fuji Crystal Archive paper to last a lifetime.', 'PROUDLY MADE IN THE USA', '- All of my designs are printed here in the good-old USA and packages at our studio in Tomball, TX by a hard-working group of employees that still care about producing quality products', 'LOVE IT OR SEND IT BACK', ""- It's pretty simple, love it or we'll gladly take it back. That's it!"", 'WANT TO SEE MORE?', '- Look for the link ""Personalized Signs by Lone Star Art"" right under the title to see all of my collection.']",B06XD6ZXYF,Pics,True,5.0,"Inspirational Sports Quotes - Home Office Inspirational and Motivational Decor, Sport Gym Wall Accessories and House Positive Quote Decoration, Set of 4 Photos (8x10) Unframed Art Print Posters",20736
"I bought this to give one of the prints as a retirement gift to my mentor in aerospace. Everyone loved it, and it looked great in a picture frame. I’m going to give the other five prints away as gifts.","[""This set of six space men and women is so charming, we're in love! These funky astronauts are getting down and spreading good vibes. Includes six full bleed prints, 8x10 inches, unframed. Navy blue background, full bleed."", ""We designed this collection of wall prints with equal parts whimsy and imagination. They are so darling, they make the perfect gift! Great for kid's rooms and play rooms! Prints come unframed and ready to hang.""]",B0B6WY77DN,10/10 would buy again,True,5.0,6 Astronauts Wall Prints Space Men & Women Posters for Big Kid's Room | Boy or Girl Bedroom Adult Wall Hanging 8x10 inches Unframed Printed in USA by Ritzy Rose (Dancing Astronauts Navy),74800
Such a wonderful saying and just beautiful picture.,['8x10 UNFRAMED Prints'],B07VJGYZPH,Love the saying of the lotus to match my tattoo,True,5.0,"Inspirational Meditation Art Print - Motivational Lotus Wall Art Poster - Unique Home Decor for Studio, Bathroom, Bedroom - Gift for Women, Zen Buddha Fans - 8x10 Photo Unframed",52209
So perfect! Exactly what I was needing. I remember my mom having a towel on the stove handle with a built in holder. I was so excited to find this so I can hang my decor towels.,"['Functional and soft, these towel hangers are a great way to conveniently display your kitchen towels while allowing you to remove the towels for laundering. Great for every day use as well as displaying those special seasonal towels.  Hang them from your stove, refrigerator handle, dishwasher, or anywhere that you may need.  Simply unbutton your towel hanger, wrap around the handle you wish to display it on and button back. place the towel in the ring at the bottom. The ring is designed to accommodate a wide variety of sizes of kitchen and hand towels.  Each towel holder is made from acrylic yarn, acrylic ring and a little wood button, proudly displaying that the item is ""Handmade with Love"". The towel holder is approximately 10.5 inches tall when open and 7 inches tall when buttoned. The ring section of the towel holder is 3.75 inches across. To care for your holder simple wash in cold water with like colors and line or tumble dry.']",B09WJLP3RP,Perfect!,True,5.0,Crochet Hanging Dish Towel Holder (Heather Grey),72656
I love this ring so much! I got my sons name engraved on it and wear it on my thumb everyday.,"['New to our product line are these nice Stainless Steel Stackable Name Rings, they are available in Matte, Shiny, Rose Gold, Gold and Coffee colors Stainless Steel. Each ring is personalized with your choice of wording and/or dates. The rings are made of Stainless Steel that will not fade, tarnish or stain your skin. Rose Gold, Gold and Coffee colors are plated over Stainless Steel. Each ring is 3mm wide, the perfect width for stacking! **LISTING IS FOR 1 RING** ( Picture shows five individual rings which are sold separately) Change Quantity to desired number of rings and add to cart separately ****INSIDE ENGRAVING NOT AVAILABLE FOR THIS RING**** ------------ORDERING INSTRUCTIONS--------------- 1. Select Quantity 2. Select Color3. Select Size 4. Enter personalization (35 characters max.) **Please note: Paint in rings is not permanent and will come out over time, length will vary depending on wear of ring. This can easily be repainted at any time using a paint marker and wiping excess with alcohol. Unfortunately, there is not a way to make it permanent in stainless steel, however the engraving (stamping) will always be there**']",B015YI5I40,I love this ring so much,True,5.0,"Personalized Stackable Name Ring - Stacking Rings - Matte, Shiny, Rose Gold, Gold and Coffee Colors - 3mm Width",1570
No one in our family really liked it. The room you see in the photos for each item is really conjested.<br />It is not a solid wood. Feels like partical board with roughish edges. It does have the slits and spaces. So buy it if none of this matters to you.,"['item details:', ""This docking station is compatible with all cell phones including iPhone X, iPhone 8, iPhone 8 plus, all kind of iPhones and all Android phones. Moreover it's compatible with iPad and all kinds of tablet."", ""The item's color shown is WALNUT. There are 8 different colors available for this item: Cherry, Mahogany, Neutral (Beech), Ebony, Teak, Rosewood, Walnut, Slate Grey."", 'This docking station is a great solution to keep all your daily items organized and easy to find. It was designed to keep your smartphone, your tablet, keys, watch, glasses, wallet. Everything is organized in a series of spaces specifically designed.', '- PERSONALIZATIONS-', 'To require your personalizations (color, font style, name) click on SELECT OPTION', '- Choose the Docking Station Color', '- Choose between the two fonts (see the 4th picture as reference).', '- Write the NAME you want to engrave on the Docking Station', 'Please note that if you DO NOT choose the font style I WILL use the Picture N1 of this offering and NOTE that if you DO NOT CHOOSE the name I WILL NOT engrave the Docking Station.', 'The engraved text has a good quality and visibility with each colors.', '- PRODUCT DETAILS -', 'This docking station is composed by 2 plywood bars each of 19 cm x 19 cm (7,5"" x 7,5"")', 'Please note that the accessories shown are not included.', '- SHIPPING -', 'Two shipping methods available:', '- STANDARD SHIPPING:', 'Registered Mail Letter', 'Carrier: Post Office', 'Delivery Time: 12-16 business days approximately', 'Signature required for delivery', '- EXPEDITED:', 'Express pack UPS Saver', 'Carrier: UPS', 'Delivery time: 3-5 business days approximately', 'Signature required for delivery', '- CONTACTS -', ""For further information don't hesitate to contact us and we'll be glad to answer you as soon as possible."", 'See you soon!', 'GretaOto Design']",B071NNLLJ8,Very small and unfinished compared to photo,True,3.0,"Gift for Him, Personalized Gift, Docking Station, Charging Station, Phone Dock, Cell Phone Stand, Desk Organizer, Engraved Docking Station",22746
I love them! They came in a few days early and thely are so pretty!  I got the coffee color for both rings.,"['New to our product line are these nice Stainless Steel Stackable Name Rings, they are available in Matte, Shiny, Rose Gold, Gold and Coffee colors Stainless Steel. Each ring is personalized with your choice of wording and/or dates. The rings are made of Stainless Steel that will not fade, tarnish or stain your skin. Rose Gold, Gold and Coffee colors are plated over Stainless Steel. Each ring is 3mm wide, the perfect width for stacking! **LISTING IS FOR 1 RING** ( Picture shows five individual rings which are sold separately) Change Quantity to desired number of rings and add to cart separately ****INSIDE ENGRAVING NOT AVAILABLE FOR THIS RING**** ------------ORDERING INSTRUCTIONS--------------- 1. Select Quantity 2. Select Color3. Select Size 4. Enter personalization (35 characters max.) **Please note: Paint in rings is not permanent and will come out over time, length will vary depending on wear of ring. This can easily be repainted at any time using a paint marker and wiping excess with alcohol. Unfortunately, there is not a way to make it permanent in stainless steel, however the engraving (stamping) will always be there**']",B015YI5I40,I love them! They came in a few days early ...,False,5.0,"Personalized Stackable Name Ring - Stacking Rings - Matte, Shiny, Rose Gold, Gold and Coffee Colors - 3mm Width",1703
was just what I expected.,"[""Digibuddha Christmas ornaments are beautiful, high quality gifts that become treasured keepsakes for years to come. Our ornaments make one-of-a-kind gifts to commemorate lifetime firsts and momentous occasions. Celebrate important events with a keepsake ornament this season such as an engagement ornament, first Christmas as newlyweds ornament, baby's first Christmas ornament, first home ornament, first year as a grandmom ornament, or even annual couples ornaments to add to your ornament collection year after year!"", 'ABOUT DIGIBUDDHA ORNAMENTS: Our ornaments are made using fine white porcelain (ceramic) with a flawless glossy glaze finish. Each original handmade ornament is permanently fused so the art becomes part of the ornament, NOT decals or stickers. Ready for gifting with the FREE included gift box!', 'LISTING INCLUDES:  3"" fine white porcelain ornament with flawless glaze finish  Beautiful original design as shown in sample  FREE hanging ribbon included (color shown in sample)  FREE white gift box with custom gift tag, Ready for gift giving!']",B01N77AB2F,Five Stars,True,5.0,"First Christmas Mr & Mrs Ornament Bride & Groom Wedding Porcelain Keepsake Present Newlywed Couple 1st Holiday Married Gift Idea 3"" Flat Ceramic Collectible w White Ribbon & Free Gift Box OR00018",18898
