Text,PostId,PostDate,Body
"Let me make sure I understand this: If an estimator is unbiased, then for _any_ sample size, the average estimate must equal the true value, but any one specific estimate can of course still be arbitrarily far away. If an estimator is consistent, then the distribution of estimates must _improve_ as the sample size increases. Is that about right?",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
For a consistent estimate the variance of the distribution goes to 0 and the estimate approaches the true parameter.  The consistent estimate does not have to be unbiased but the bias goes to 0 as n goes to infinity.  Anunbiased estimate will be consistent if its variance goes to 0 as n approaches infinity.  That is generally the case.,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
"@MichaelChernick +1 for your answer but, regarding your comment, the variance of a consistent estimator does not necessarily goes to $0$. For example if $(X_1,...,X_n)$ is a sample from $\\mbox{Normal}(\\mu,1)$, $\\mu\\neq 0$, then $1/{\\bar X}$ is a (strong) consistent estimator of $1/\\mu$, but $\\mbox{var}(1/{\\bar X})=\\infty$, for all $n$.",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
@Procrastinator For an estimator sn to be strongly consistent for a parameter p P[p-e<=sn<=p+e] has to approach 1 as n approaches infininity for every e>0. This cannot happen if the variance of sn does not go to 0. I presume the variance exists to begin with.  You are taking an example where the variance never exists.,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
"@Procrastinator: (+2) [The bias need not shrink to zero, either, even when the mean exists for each $n$](http://stats.stackexchange.com/questions/17706/how-to-show-that-an-estimator-is-consistent#comment31833_17707)",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
My point for the OP is to give a fundamental understanding of what consistency means.  So for estimators that are well behaved and have finite variances the estimate is converging to a constant and its distribution is becoming degenerate.,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
@cardinal The point here for the OP is to explain the difference between unbiasedness and consistency and not to confuse the issue with unusual counterexamples. But i do appreciate the need for a qualifying statement.  I should have said that for estimators with finite variance to be consistent the variance must go to zero.,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
"Given a sample of size $n$, $x_1,\\ldots,x_n$, the estimator of the mean $\\delta(x_1,\\ldots,x_n)=x_1$ is unbiased but inconsistent, whatever the sample size.",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
@Xi'an A good example but you consistency/ inconsistency is an asymptotic property and doesn't apply to any finite sample size n. What you mean is that x1 does not converge to the mean of the distribution.,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
"@MichaelChernick: Pardon my French! Consistency is by definition an asymptotic property, yes, so indeed the collection of estimators always taking the fist observation in the sample is unbiased for all $n$'s and inconsistent.",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
"My comment was with regard to your statement ""is unbiased for all n's and inconsistent"" It sounds like you are saying inconsistent for all n even though that is not what you intended.",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
"The statement **""if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value""** is pretty imprecise and would also be true about a (slightly) biased estimator. I'm not sure the bolded statement really adds a lot to the answer, either, as the previous statement - ""An estimate is unbiased if its expected value equals the true parameter value"" - already describe what unbiasedness means.",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
The idea was to say something understandable without mentioning limits. So that is the reason for saying close. Of course thechnically that could be said of estimators that are nearly unbiased. The point was not to give a preicse definition but rather to give a clear indication as to what the term means.  Certainly it would be very picky to downvote the answer especially since this is only an informal description of a deifnition that already has been properly defined.,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
"So many confusing comments! However, I still like this answer for emphasizing that one property is concerned with increasing sample sizes, while the other is not.",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
thank you  It shouldn't be so complicated but that is unfortunately what manthematical statisticians do.,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
"Michael, the body of your answer is pretty good; I think the confusion was introduced by your first comment, which leads with two statements that are plainly false and potential points of confusion. (Indeed, many students walk away from an introductory graduate statistics class with precisely these misconceptions due to poor delineation between the different modes of convergence and their meaning. Your last comment could be taken to be a little on the harsh side.)",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
Note that the OP was not confused by my comments which are not false. But I did add some clarification that may or may not have been necessary.,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
"Unfortunately, the first two sentences in your first comment and the entire second comment are false. But, I fear it is not fruitful to further try to convince you of these facts.",31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
It is a fault of many statisticians to be overly precise and thereby confusing.  This is a problem I had but got over.  For the most part out answers are not directed at graduate students in statistics and therefore do not need to be mathematically as precise as would be expected for graduate students.,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
@cardinal So then am i to understand you to say that consistency is not an asymptotic proprty that says that the estimator tends to approach the true value of the parameter as the sample size increasesand that unbiased is not a property that applies to all fixed samples sizes?,31038,2012-06-24 17:20:10.0,"<p>Consistency of an estimator means that as the sample size gets large the estimate gets closer and closer to the true value of the parameter.  Unbiasedness is a finite sample property that is not affected by increasing sample size.  An estimate is unbiased if its expected value equals the true parameter value.  This will be true for all sample sizes and is exact whereas consistency is asymptotic and only is approximately equal and not exact.  To say that an estimator is unbiased means that if you took many samples of size n and computed the estimate each time the average of all these estimates would be close to the true parameter value and will get closer as the number times you do this increases.  The sample mean is both consistent and unbiased.  The sample estimate of standard deviation is biased but consistent. As described below there are apparently pathological cases where the variance does not have to go to 0 for the estimator to be strongly consistent and the bias doesn't even have to go to 0 either.</p>
"
